intput,output,type
mrid,malade,adjective
t9qil,lent,adjective
ghali,cher,adjective
maghlou9,fermé,adjective
3a9al,gentil,adjective
wa3ar,difficile,adjective
s3ib,difficile,adjective
bnin,délicieux,adjective
faregh,vide,adjective
skhoun,chaud,adjective
chbeb,beau,adjective
wadjed,prêt,adjective
9rib,proche,adjective
bared,froid,adjective
touil,long,adjective
sehel,facile,adjective
9ari,instruit,adjective
wa9af,debout,adjective
9a3ad,assis,adjective
batal,gratuit,adjective
9bih,méchant,adjective
m9ala9,inquiet,adjective
mli7,bon,adjective
mahboul,fou,adjective
far7an,heureux,adjective
7achman,timide,adjective
f7el,courageux,adjective
ndif,propre,adjective
n9i,propre,adjective
chater,dégourdi,adjective
mez3ou9,moche,adjective
rzin,posé,adjective
9awi,fort,adjective
9bih,mauvais,adjective
za3fan,énervé,adjective
mwesekh,sale,adjective
zawali,pauvre,adjective
maghboun,triste,adjective
7ar,épicé,adjective
mala7,salé,adjective
7lou,sucré,adjective
mamdoud,allongé,adjective
françaoui,français,adjective
dziri,algérien,adjective
gawri,européen,adjective
marouki,marocain,adjective
tounsi,tunisien,adjective
masri,egyptien,adjective
3arbi,arabe,adjective
mouslim,musulman,adjective
massihi,chrétien,adjective
yhoudi,juif,adjective
ka7louche,noir,adjective
mayet jou3,affamé,adjective
mayet 3tach,assoifé,adjective
chab3an,rassasié,adjective
dji3an,faim,adjective
3atchane,soif,adjective
9ar3aj,curieux,adjective
m3abi,plein,adjective
mezroub,pressé,adjective
ghayeb,absent,adjective
7adar,présent,adjective
lati,occupé,adjective
khayef,peur,adjective
ra9ad,endormi,adjective
nayed,éveillé,adjective
hayel,enthousiaste,adjective
mbaher,perdu,adjective
ma7ro9,brûlé,adjective
mkasar,cassé,adjective
mkhaser,défaillant,adjective
mgachech,fâché,adjective
ghani,riche,adjective
ghayour,jaloux,adjective
mchamakh,mouillé,adjective
nachef,sec,adjective
niya,naïf,adjective
fassed,pourri,adjective
s7i7,solide,adjective
rachi,fragile,adjective
mach7a7,radin,adjective
krim,généreux,adjective
7assel,bloqué,adjective
na3san,sommeil,adjective
7ili,rusé,adjective
m9atta3,déchiré,adjective
mtabbez,abîmé,adjective
